firstname,surname,latitude,longitude
Matthew,Fox,13.99904,100.54962
Gerald,Perez,52.04545,33.94517
George,Montgomery,49.91487,18.01245
Steve,Bryant,38.0357,23.75733
Paula,Andrews,51.3223,42.7678
Adam,Kim,-6.7202,111.5147
Kathryn,Reynolds,49.41008,20.30273
Alice,Wright,40.29053,45.13059
Ruth,Matthews,-13.74972,-73.93111
Benjamin,Duncan,15.5841,120.6765
Lois,Lynch,11.99008,-86.30954
Patricia,Brooks,-8.1199,111.9707
Irene,Hicks,19.2425,110.46417
Lawrence,Stephens,57.7072,11.9668
Alan,Stephens,41.2208,-8.4042
Pamela,Scott,40.56071,22.18545
Phyllis,Wood,-8.226,111.565
Joseph,Butler,-7.229,106.9856
Donna,Crawford,53.5151,49.1355
William,Mccoy,34.1425,120.06667
Juan,Pierce,24.25834,114.71761
Anthony,Carr,52.26858,19.87092
Sean,Johnston,3.83619,154.97143
Christopher,Gibson,29.55899,107.95073
Elizabeth,Wheeler,44.13944,43.01972
Jason,Vasquez,45.80529,41.89667
Nicole,Alvarez,40.4344,-80.0248
Alan,Hart,37.7692,-3.7903
Clarence,Hicks,-6.4954,106.2003
Betty,Garcia,37.33302,121.31842
Brenda,Davis,40.43026,50.03598
Chris,Henderson,16.31006,104.20247
Annie,Ward,43.16667,70.46667
Jacqueline,Carpenter,50.24915,66.92027
Johnny,Price,-19.78333,29.2
Virginia,Stephens,31.34454,118.33082
Christina,Roberts,28.63552,108.92855
Irene,Hayes,10.81028,122.54472
Kathleen,Griffin,35.99175,128.39732
Mildred,Morales,-7.0612,113.528
Amy,Ford,64.7507,20.9528
Roger,Perkins,32.09249,118.50671
Michael,Jenkins,34.6401,50.8764
Randy,Morgan,32.62,117.08
Sarah,Bradley,44.80771,129.06879
Ann,Parker,37.3376,113.53926
Paula,Williams,49.76972,5.98222
Doris,Dixon,7.06222,-73.08644
Lisa,Lane,-8.6281,116.4076
Debra,Phillips,-21.60333,-48.36583
Barbara,Nichols,29.49019,108.5824
Julia,Knight,8.1144,123.8971
Andrea,Young,45.50523,128.77169
Russell,Arnold,68.97917,33.09251
Timothy,Warren,-22.33028,-47.1725
Wayne,Owens,50.35,19.41667
George,Gibson,22.71639,-82.28806
Aaron,Myers,-7.4287,108.3966
Sandra,Taylor,0.4175,32.02278
Joseph,Carter,-10.40696,-76.46168
Bruce,Reed,35.0443,-106.6729
Dorothy,Kelly,16.50653,100.20497
Theresa,Little,31.39875,111.33367
Janice,Pierce,30.61667,118.18333
Helen,Grant,40.38118,23.92374
Sean,Carter,55.70196,37.81178
Douglas,Brown,10.15209,124.25857
Martin,Warren,32.89044,36.0399
Chris,Bishop,33.19133,104.42009
Chris,Nichols,40.6955,-8.5984
Christopher,Rogers,24.29269,113.05219
John,Simmons,55.66853,39.87488
Larry,James,36.26667,140.1
Maria,Hernandez,-7.6759,108.2177
Melissa,Webb,29.32999,120.43482
Craig,Shaw,-8.0438,113.2345
Tammy,Snyder,-45.86414,-67.49656
Ann,Moore,35.68351,139.55963
Clarence,Richardson,61.13336,149.63283
Theresa,Wells,32.34596,120.33467
Clarence,Cooper,41.4,-8.5333
Heather,Romero,6.95333,124.42556
Andrew,Marshall,50.42974,21.75078
Ronald,Diaz,41.3333,-8.6
Joshua,Diaz,20.51686,-13.04986
Jose,Reynolds,60.7329,15.0018
Marilyn,Cox,52.5125,6.0944
Diane,Harper,34.51958,108.31516
Walter,Brooks,40.12694,68.49444
Andrea,Rose,49.41008,20.30273
Gregory,Brooks,52.22096,20.98526
Eugene,Hernandez,24.73183,69.79811
Anthony,Hicks,-31.82508,-60.51749
Jimmy,Rose,15.03601,120.69935
Ralph,Porter,-32.035,-52.09861
Earl,Stanley,28.07937,107.04086
John,Arnold,31.92472,120.07861
Michelle,Shaw,59.75727,43.12847
Kimberly,Chapman,49.39598,21.02368
Andrea,Cole,34.4,133.08333
George,Rice,27.8582,-101.1699
Larry,Burns,41.4,-8.6333
Andrea,Mills,-21.22583,-43.77361
Robert,Wells,23.7519,114.69294
Lawrence,Warren,8.9936,-79.51973
Lori,Peters,9.31387,42.11815
Anthony,Stanley,14.68333,-89.11667
Teresa,Nguyen,44.68477,20.44993
Mark,Diaz,32.81034,35.26009
Betty,Reyes,-29.02889,-51.18167
Amanda,Garrett,45.29508,130.7006
Roy,Montgomery,42.88333,20.86667
Antonio,Mcdonald,56.19239,86.64161
Gerald,Allen,10.76333,122.49306
Bruce,Lee,-32.2375,-53.08694
Andrea,Armstrong,-19.51861,-42.62889
David,Morgan,5.2068,97.07743
Harold,Sims,37.68028,112.73194
Mark,Davis,15.24592,100.65556
Helen,Watson,56.05944,24.40361
Kenneth,Coleman,52.0883,4.3944
Doris,Medina,59.80083,30.54778
Martha,Graham,39.6922,-8.4593
Clarence,Lopez,49.42732,25.97869
Rose,Burns,44.23,42.7698
Patrick,Mcdonald,43.1167,5.9333
Phyllis,Foster,29.73734,107.21918
Frank,Fisher,35.50222,112.83278
Evelyn,Harrison,25.47123,116.45812
Donald,Brooks,-22.09198,-70.19792
Earl,Howell,42.63694,141.60333
Bonnie,Roberts,54.97741,37.22449
Rebecca,Baker,24.92109,113.97646
Dennis,Kennedy,-3.37833,-68.8725
Andrew,Ramirez,57.1334,103.9112
Gloria,Andrews,-6.9179,113.6087
Bobby,Sanchez,-6.56667,-78.73333
Steven,Bishop,56.1591,13.7664
Henry,Watkins,9.90999,-65.67405
Johnny,Morales,28.18348,114.31217
Ashley,Johnson,-14.06777,-75.72861
Mark,Sims,39.3,-7.7333
Harry,Martin,-11.13333,-77.1946
Eugene,Harrison,42.65,26.98333
Tina,Henry,49.0137,2.4659
Denise,Adams,34.70388,116.58717
Janice,Fisher,30.07861,121.55278
Brandon,Foster,21.44896,110.7941
Chris,Ross,44.95944,13.85167
Alan,Franklin,25.38323,112.97897
Juan,Burns,33.83003,69.9192
Ruby,Bennett,56.24283,37.51769
Mary,Mills,30.50346,-8.60637
Bobby,Simpson,49.25,4.0333
Edward,Myers,59.43028,24.53306
James,Allen,14.04992,101.36864
Gloria,Lawrence,51.05132,16.19347
Emily,Nichols,51.81,4.6736
Tina,Stevens,-8.15927,112.7153
Anne,Parker,14.5833,120.9667
Michelle,Hernandez,52.01289,15.42317
Sandra,Fisher,-27.38333,-55.03333
Fred,Washington,-8.6212,116.4759
Andrew,Rose,61.65,29.75
Christine,Butler,11.5076,122.4791
Brian,Williamson,54.72774,39.51731
Shawn,Jackson,39.6922,-8.4593
Dennis,Hughes,25.8,113.03333
Betty,Hall,22.80087,113.29208
Todd,Little,13.25,-59.65
Mark,Alvarez,65.5842,22.1546
Doris,Stevens,16.06645,104.44018
Gary,Stone,54.76099,17.55547
Fred,Cooper,5.88737,10.01176
Tina,Hayes,-23.79722,-52.26917
Keith,Rose,58.53611,25.47056
Patrick,Mason,28.858,115.65193
Gary,Sullivan,-39.80867,-73.21821
Norma,Henderson,22.9754,111.66202
Joan,Morrison,15.08333,-91.71667
Howard,Weaver,10.45,-13.53333
Keith,Ruiz,49.93126,30.62309
Stephen,Warren,4.0745,9.3699
Diana,Murray,9.33855,-66.25255
Lois,Castillo,-2.73353,107.63477
Nancy,Davis,52.18201,85.96757
Justin,Adams,17.9193,120.4458
Raymond,Carter,37.1369,-8.0349
Fred,Banks,44.5167,3.5
Randy,Henry,7.11667,124.4
Dennis,Welch,22.77866,113.8454
Shawn,Cole,58.46022,36.41277
Howard,Wagner,29.81523,107.29496
Joan,Stone,54.03591,19.0266
George,Weaver,35.72526,139.5383
Jacqueline,Flores,-7.0991,106.9221
Joseph,Phillips,39.6502,111.83683
Nicole,Berry,-21.97895,27.84296
Scott,Campbell,9.722,123.88
Joshua,Long,22.95514,113.33611
Dorothy,Brown,-6.7565,111.1048
Craig,Spencer,65.17654,25.35233
Nicole,Moreno,-7.4201,107.9025
Harry,Williams,-16.49611,-49.42639
Phillip,Coleman,1.5014,103.6439
Nancy,Thompson,36.69648,38.95382
Lillian,Myers,31.28781,34.23807
Dorothy,Rose,50.05472,6.03139
Deborah,George,50.12424,27.51087
Judith,Ellis,24.88333,68.81667
Beverly,Morgan,19.404,-98.9245
Phillip,Austin,22.16667,112.48333
Elizabeth,Warren,45.70954,97.17596
Clarence,Webb,49.3309,22.28566
Mildred,Wright,28.23417,82.41278
William,Cox,21.3201,105.29156
Dennis,Duncan,46.76786,83.14697
Debra,Day,32.17792,121.04906
Ryan,Brooks,2.4803,96.3801
Terry,Lopez,44.31639,40.63583
Roger,Porter,-8.1531,113.2176
Lawrence,Chapman,40.18726,44.0039
Jeremy,Mason,24.02452,88.99234
Virginia,Mendoza,-8.2655,118.5442
Tina,Kelley,28.2905,117.79431
Harold,Walker,50.32717,13.54577
Kevin,Ford,13.3592,121.1699
Carlos,Hernandez,56.24204,51.14425
Jimmy,Dean,24.09111,115.44758
Doris,Foster,28.0848,57.2204
Elizabeth,Perkins,41.7458,-87.6054
Beverly,Mason,41.7638,-72.673
Gerald,Porter,37.91222,115.01639
George,Barnes,43.8817,4.8549
Jesse,Robertson,26.6749,109.196
Maria,Scott,35.41667,137.13333
Johnny,Romero,42.01528,21.44111
Jane,Payne,35.70178,65.23055
Laura,Montgomery,48.8221,1.9868
Norma,Reid,-7.18495,113.50247
Kathy,Stephens,-8.52388,118.84294
Doris,James,41.5292,-8.3125
Irene,Thompson,6.86617,101.36894
Donald,Carr,60.1454,16.1679
Evelyn,Sims,28.97091,102.77126
Douglas,Berry,15.39223,120.76848
Kathy,Moreno,53.04063,16.45628
Russell,Dunn,37.81244,66.04656
Robin,Perkins,35.00856,132.2257
Anna,Chapman,52.75328,18.11328
Angela,King,34.96732,-5.57295
Sharon,Black,59.16806,24.7575
Joshua,Nguyen,30.58333,114.03333
Cynthia,Armstrong,54.71687,-113.28537
Louise,Hill,32.14613,34.8394
Dennis,Lee,18.8822,-96.6238
Shirley,Brown,47.89333,28.30139
Justin,Alvarez,-9.82702,-76.80199
Antonio,Meyer,41.4,-8.75
Randy,Nichols,36.1168,36.51522
Sarah,Perry,31.58029,35.10178
Jacqueline,Ford,46.23092,15.26044
Debra,Fields,55.73333,37.66667
Jane,Fuller,40.57028,48.40087
Ruby,Gibson,41.34639,82.65083
Lois,Stone,-33.8784,151.2313
Douglas,Sanders,10.58964,39.43767
Bonnie,Freeman,13.2934,123.7919
Teresa,Powell,20.8415,-101.5373
Anthony,Fernandez,30.05127,101.96033
Bobby,Cook,19.32076,95.18272
Frank,Barnes,37.3894,-121.8868
Lillian,Gilbert,30.68494,107.63145
Gary,Reid,53.72226,18.49051
Billy,Larson,-9.8204,124.5113
Pamela,Hill,-6.8428,111.981
Bruce,Sims,31.53537,34.97192
Judy,Nelson,-6.3606,106.0531
Carolyn,Washington,39.94191,112.00383
Juan,Griffin,45.86057,39.94968
Marilyn,Ortiz,9.95808,-84.0305
Sean,Willis,49.01018,33.63567
Russell,Lewis,45.7797,3.0863
Doris,Ryan,55.65608,37.56846
Terry,Hart,57.7072,11.9668
Johnny,Hunt,33.71294,80.37682
